Customer ID,Gender,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Population,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_0,Offer_1,Offer_2,Offer_3,Offer_4,Offer_5,Internet Type_0,Internet Type_1,Internet Type_2,Internet Type_3,Contract_0,Contract_1,Contract_2,Payment Method_0,Payment Method_1,Payment Method_2
0015-UOCOJ,0.0,1.0,0.0,1.0,0.0,-0.48493511581301046,-0.9082733991533599,1.4583446959739097,1.0,1.4915156337028068,1.1005607654805745,1.0,0.5602159439612795,0.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4766957939680134,-0.4495659844362682,-0.16169824792778656,-0.2614531442151687,1.329838948817837,0.030341355316049187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0016-QLJIS,1.0,0.0,0.0,0.0,0.0,-0.48493511581301046,-0.9582162134611808,0.6252034941320354,0.0,-0.6242133405586695,0.35270304766620225,1.0,-1.0694593412048325,1.0,1.0,-0.864903961455687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2981588639334969,-0.019192466161787183,-0.16169824792778656,-0.2614531442151687,-0.5742922598296153,-0.18658824226946708,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0018-NYROU,1.0,0.0,0.0,0.0,0.0,-0.48493511581301046,1.9870330801157186,0.6252034941320354,0.0,-0.6242133405586695,-1.3092029919212915,1.0,0.8785375361101173,0.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4633601568530543,-1.0021938729011304,-0.16169824792778656,-0.2614531442151687,-0.8560099491470484,-1.0536840239364231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0020-JDNXP,1.0,1.0,0.0,1.0,1.0,1.665215470735546,-0.9104572104253749,1.4583446959739097,1.0,0.08102965086182264,1.5991325773568226,1.0,-0.8988127144858679,1.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.310000330031024,-0.19213118351488354,-0.16169824792778656,-0.2614531442151687,-0.11430084666449968,-0.18920602874435835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0022-TCJCI,0.0,0.0,0.0,1.0,0.0,-0.48493511581301046,0.41160314398925923,-0.20793770770983921,1.0,0.08102965086182264,0.9343701615218251,1.0,-1.1692219845174578,1.0,1.0,-9.008110030355818e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.838704200116772,1.187853266071535,-0.16169824792778656,-0.2614531442151687,-0.5637122168712959,0.7794634056976691,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0027-KWYKW,0.0,0.0,1.0,1.0,0.0,-0.48493511581301046,1.1427051785334048,-1.8742201113935881,1.0,0.7862726422823147,-1.143012387962542,1.0,1.5007413904546496,1.0,1.0,0.11827141934078589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.323615216551474,-0.8629338621710281,-0.16169824792778656,-0.2614531442151687,-0.6245474638816327,-0.8744823895329545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0048-LUMLS,0.0,0.0,0.0,1.0,1.0,0.5901401774612678,-0.9727907799939765,1.4583446959739097,1.0,0.43365114657206866,-1.3092029919212915,1.0,-0.45119348593842995,0.0,0.0,-1.020142179476183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4866975218042329,-1.0025042757271485,-0.16169824792778656,-0.2614531442151687,-0.8803680935033611,-1.0610987272490882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0048-PIHNL,1.0,0.0,0.0,0.0,0.0,-0.48493511581301046,2.215051461408935,-2.4919597053189424e-15,0.0,-0.6242133405586695,-5.018634871765108e-15,0.0,-1.5026392397991273,0.0,1.0,-0.5544275254146956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.9982798124688532,-0.8800947041237585,-0.16169824792778656,-0.2614531442151687,2.8703459278061322e-15,-0.9691118330509834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0052-DCKON,1.0,0.0,0.0,0.0,0.0,-0.48493511581301046,-0.9882198813723432,-0.20793770770983921,0.0,-0.6242133405586695,-0.8937264820244181,1.0,0.32459233245317065,0.0,1.0,2.032876108260233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05720555691399449,-0.6877114668836537,-0.16169824792778656,-0.2614531442151687,-0.5314430858484216,-0.7073013476182434,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0052-YNYOT,0.0,0.0,0.0,0.0,0.0,-0.48493511581301046,1.1366284862982328,-1.0410789095517137,0.0,-0.6242133405586695,-0.22896406618942053,1.0,-0.7747657435247743,1.0,1.0,-9.008110030355818e-15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9970648908569121,0.19678138585571406,-0.1616982479278295,-0.2614531442151687,-0.5396305963650301,-0.004093149476642002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
